decil,prob_media_predicha_sin_calibrar,tasa_churn_observada_sin_calibrar,prob_media_predicha_calibrada,tasa_churn_observada_calibrada
1,0.20529544549901643,0.09523809523809523,0.07502612926900659,0.09523809523809523
2,0.38944691962985384,0.2119047619047619,0.17798256097836038,0.2119047619047619
3,0.49977369573818425,0.2714285714285714,0.28724166890502884,0.2714285714285714
4,0.5879998282803695,0.32142857142857145,0.3995859395293238,0.32142857142857145
5,0.6660504942764972,0.41092636579572445,0.5093862816541003,0.41092636579572445
6,0.7222825552442518,0.5789473684210527,0.5887651324610271,0.5789473684210527
7,0.7717961372751758,0.6761904761904762,0.6552348734996333,0.6761904761904762
8,0.8143431444694963,0.7523809523809524,0.7080299044656012,0.7523809523809524
9,0.851475871455568,0.8047619047619048,0.7500029725526997,0.8047619047619048
10,0.8988306303413607,0.8238095238095238,0.796260577248012,0.8238095238095238
