decil,prob_media_predicha_sin_calibrar,tasa_churn_observada_sin_calibrar,prob_media_predicha_calibrada,tasa_churn_observada_calibrada
1,0.07733069393856938,0.052941176470588235,0.10763253763939071,0.052941176470588235
2,0.13897335354186835,0.10059171597633136,0.14047732445768596,0.10059171597633136
3,0.19046749955886708,0.1242603550295858,0.17402508937706498,0.1242603550295858
4,0.23911868491597324,0.1242603550295858,0.21141043381012134,0.1242603550295858
5,0.30062464516577764,0.25443786982248523,0.2667383237574275,0.25443786982248523
6,0.3752428974653537,0.28994082840236685,0.34481597638366235,0.28994082840236685
7,0.46921171973981557,0.47337278106508873,0.45564789793023436,0.47337278106508873
8,0.6042645533922425,0.6568047337278107,0.6188071128085656,0.6568047337278107
9,0.7314457806061145,0.7455621301775148,0.7516793563915122,0.7455621301775148
10,0.8888173069750921,0.7941176470588235,0.8678725179517511,0.7941176470588235
