decil,prob_media_predicha_sin_calibrar,tasa_churn_observada_sin_calibrar,prob_media_predicha_calibrada,tasa_churn_observada_calibrada
1,0.20475091258551747,0.27380952380952384,0.182921367963267,0.27380952380952384
2,0.3993242104848226,0.37857142857142856,0.29559922355545265,0.37857142857142856
3,0.5133025766838164,0.3357142857142857,0.37981281676420003,0.3357142857142857
4,0.586018760005633,0.34285714285714286,0.43830740283149455,0.34285714285714286
5,0.6447406605655599,0.34507042253521125,0.48701026240428114,0.34507042253521125
6,0.700105874936748,0.46731234866828086,0.5331786909294204,0.46731234866828086
7,0.7583712599107197,0.5452380952380952,0.5811260105751892,0.5452380952380952
8,0.8264494546801914,0.6247030878859857,0.6351771643444359,0.6247030878859857
9,0.8912849134647761,0.7684964200477327,0.6837945114972444,0.7684964200477327
10,0.959339008019084,0.8666666666666667,0.7306366462867985,0.8666666666666667
