model__hidden_units,model__learning_rate,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_pr_auc,cv_std_pr_auc,cv_mean_brier_score,cv_std_brier_score,cv_mean_log_loss,cv_std_log_loss
"(32, 16)",0.001,0.5841546547000602,0.14272992622373962,0.7624813610116312,0.1588965317825346,0.6354219355022467,0.06869476415032992,0.7134846720876615,0.09632580158042886,0.6857602875076125,0.10896284371295344,0.24245716035366058,0.04745860284532297,0.6940171539783477,0.11330311575053804
"(32, 16)",0.0005,0.5817708629798655,0.14065888213279498,0.7593568242086889,0.16019269367547048,0.6324014050155433,0.06640610157819457,0.7100173561981731,0.09486101302588737,0.6833951454581058,0.10827240132292719,0.243736732006073,0.04813777201767231,0.6965801656246186,0.11434430856854949
"(16, 8)",0.0005,0.5697395597326594,0.1550456929315592,0.8098603237604264,0.13385207453073505,0.6486399248162303,0.0926954859226901,0.7031609977695112,0.10670191528145621,0.6762661547935668,0.10411074812334094,0.2432379812002182,0.04549325966695354,0.696762079000473,0.1071673526045275
"(32, 16)",0.01,0.5730214702929579,0.14011721031713809,0.823885007340972,0.13545828240443825,0.65670141458206,0.08145246992481418,0.7160821333968637,0.09027611328604769,0.690128607632121,0.08466994762263477,0.24256691038608552,0.04227923860361418,0.6968994975090027,0.0958652796971209
"(64, 32, 16, 8)",0.01,0.5696055492612357,0.14641918688034983,0.8809451364044218,0.12758885981423893,0.6675692779108852,0.07384161724521482,0.7208427525653736,0.08563279897168567,0.7015456854112709,0.07737586038816674,0.2457032561302185,0.047668096658289624,0.7085017085075378,0.12721930693883457
"(64, 32)",0.005,0.5753080534409097,0.13615951821108582,0.865074218187986,0.12546992370912524,0.670435521850239,0.06837571737695816,0.732476114475632,0.07593224954944393,0.7045591010489645,0.0742714199339425,0.24470685720443724,0.044534940089902504,0.709058141708374,0.11345541578403498
"(64, 32, 16, 8)",0.005,0.5719101446394783,0.143849549496284,0.8908024076480026,0.13603401043187774,0.6715792544054668,0.0674200968659253,0.7307129274659224,0.07803384660312107,0.7057402826773165,0.07437925744508422,0.24680711328983307,0.04444726958512274,0.7106687664985657,0.1074833113755637
"(64, 32, 16)",0.0005,0.5799569230166723,0.15978532481138058,0.8650233711665788,0.1403641575627743,0.6649691160530831,0.07731493329534024,0.7200025174717701,0.08662286001348994,0.6857279677842083,0.10212258138228136,0.24681300520896912,0.051005308646722106,0.711916720867157,0.12336930555876145
"(64, 32, 16)",0.001,0.5796071018149458,0.15436672515905284,0.8695318156398983,0.1400496460657331,0.6675929529129009,0.07318052228670954,0.7291381765503634,0.08112155047808225,0.6954295505719428,0.09221663307948533,0.2478894740343094,0.050290319983784575,0.7134930431842804,0.11893623514466652
"(16, 8)",0.001,0.5650070381340365,0.15149475545905078,0.8130496028744613,0.1319536969284694,0.6464596617846627,0.09278222159726708,0.7021689388908939,0.10904391866105823,0.6745180710320179,0.10573866102009366,0.24630506038665773,0.04668249735110511,0.7135209262371063,0.12099441130869347
